date,Fico Robert,Šimečka Michal,Pellegrini Peter,Kollár Boris,Matovič Igor
22. 5. 23,35.3,19.4,38.8,5.1,1.3
23. 5. 23,34.5,20.2,38.8,5.1,1.3
24. 5. 23,34.5,21.5,36.2,6.5,1.3
25. 5. 23,34.8,22.6,34.8,6.5,1.3
26. 5. 23,34.6,26.4,31.3,6.3,1.4
27. 5. 23,34.8,26.5,31.4,6.0,1.4
28. 5. 23,34.6,25.7,33.1,5.3,1.4
29. 5. 23,34.8,26.5,31.4,6.0,1.4
30. 5. 23,34.8,26.5,31.4,6.0,1.4
31. 5. 23,34.8,26.5,31.4,6.0,1.4
1. 6. 23,34.8,26.5,31.4,6.0,1.4
2. 6. 23,34.6,26.6,31.3,6.0,1.4
3. 6. 23,33.5,30.0,29.4,5.6,1.5
4. 6. 23,33.4,31.4,28.2,5.6,1.4
5. 6. 23,33.3,30.7,29.0,5.3,1.6
6. 6. 23,32.8,31.5,28.8,5.4,1.4
7. 6. 23,32.7,31.7,28.8,5.4,1.4
8. 6. 23,32.5,31.8,28.8,5.4,1.4
9. 6. 23,32.6,31.3,29.1,5.4,1.7
10. 6. 23,32.5,31.8,28.7,5.4,1.5
11. 6. 23,32.5,31.8,28.7,5.4,1.5
12. 6. 23,32.5,31.8,28.7,5.4,1.5
13. 6. 23,32.5,31.8,28.7,5.4,1.5
14. 6. 23,32.5,31.8,28.7,5.4,1.5
15. 6. 23,32.5,31.8,28.7,5.4,1.5
16. 6. 23,32.7,32.0,28.5,5.2,1.5
17. 6. 23,32.7,32.0,28.5,5.2,1.5
18. 6. 23,33.0,31.8,28.5,5.2,1.5
19. 6. 23,31.4,32.6,29.3,5.1,1.5
20. 6. 23,31.5,33.2,28.9,4.7,1.7
21. 6. 23,30.8,34.6,28.7,4.3,1.5
22. 6. 23,30.8,34.6,28.7,4.3,1.5
23. 6. 23,31.0,34.8,28.9,3.8,1.5
24. 6. 23,31.0,34.8,28.9,3.8,1.5
25. 6. 23,31.0,34.8,28.9,3.8,1.5
26. 6. 23,31.0,34.8,28.9,3.8,1.5
27. 6. 23,31.0,34.8,28.9,3.8,1.5
28. 6. 23,31.1,35.0,28.0,4.2,1.7
29. 6. 23,30.1,34.3,29.6,4.3,1.7
30. 6. 23,29.5,33.5,31.9,3.7,1.5
1. 7. 23,29.4,33.1,32.3,3.7,1.5
2. 7. 23,29.3,32.9,32.6,3.7,1.5
3. 7. 23,29.3,32.7,32.9,3.7,1.5
4. 7. 23,29.2,32.5,33.1,3.7,1.5
5. 7. 23,29.2,32.5,33.1,3.7,1.5
6. 7. 23,29.1,32.1,33.7,3.6,1.5
7. 7. 23,29.1,32.1,33.7,3.6,1.5
8. 7. 23,29.2,32.2,33.8,3.5,1.4
9. 7. 23,29.2,32.2,33.8,3.5,1.4
10. 7. 23,29.4,32.2,34.4,2.8,1.2
11. 7. 23,29.4,32.0,34.9,2.5,1.1
12. 7. 23,29.4,32.0,34.9,2.5,1.1
13. 7. 23,29.5,31.6,35.4,2.4,1.1
14. 7. 23,30.9,31.8,34.1,2.0,1.1
15. 7. 23,31.7,31.7,33.5,1.9,1.1
16. 7. 23,31.8,31.8,33.5,1.9,1.1
17. 7. 23,32.0,31.8,33.2,1.9,1.1
18. 7. 23,32.0,31.8,33.2,1.9,1.1
19. 7. 23,32.0,31.8,33.2,1.9,1.1
20. 7. 23,32.0,31.8,33.2,1.9,1.1
21. 7. 23,32.0,31.8,33.2,1.9,1.1
22. 7. 23,32.5,32.1,32.5,1.8,1.1
23. 7. 23,33.0,32.8,31.5,1.7,1.1
24. 7. 23,33.0,33.1,31.1,1.7,1.1
25. 7. 23,33.1,32.8,31.2,1.7,1.1
