date,Korčok Ivan,Pellegrini Peter,Mistrík Robert,Kubiš Ján,Fico Robert,Lajčák Miroslav
21. 6. 23,43.6,20.9,7.9,10.1,10.5,7.0
22. 6. 23,43.0,22.0,7.8,9.9,10.3,6.9
23. 6. 23,42.2,23.5,7.7,9.8,10.1,6.7
24. 6. 23,42.2,23.5,7.7,9.8,10.1,6.7
25. 6. 23,42.2,23.5,7.7,9.8,10.1,6.7
26. 6. 23,42.2,23.5,7.7,9.8,10.1,6.7
27. 6. 23,42.2,23.5,7.7,9.8,10.1,6.7
28. 6. 23,41.5,22.8,9.1,9.1,10.5,6.8
29. 6. 23,42.4,23.3,7.2,9.7,10.4,7.0
30. 6. 23,43.0,24.0,6.0,10.3,9.9,6.9
1. 7. 23,43.0,24.0,6.0,10.3,9.9,6.9
2. 7. 23,43.0,24.0,6.0,10.3,9.9,6.9
3. 7. 23,43.0,24.0,6.0,10.3,9.9,6.9
4. 7. 23,43.0,24.0,6.0,10.3,9.9,6.9
5. 7. 23,43.0,24.0,6.0,10.3,9.9,6.9
6. 7. 23,43.0,24.3,6.1,10.1,9.8,6.7
7. 7. 23,43.0,24.3,6.1,10.1,9.8,6.7
8. 7. 23,43.0,24.3,6.1,10.1,9.8,6.7
9. 7. 23,43.0,24.3,6.1,10.1,9.8,6.7
10. 7. 23,42.8,24.6,6.1,10.2,9.5,6.8
11. 7. 23,42.6,24.8,6.2,10.3,9.3,6.8
12. 7. 23,42.6,24.8,6.2,10.3,9.3,6.8
13. 7. 23,42.6,24.8,6.2,10.3,9.3,6.8
14. 7. 23,42.6,24.8,6.2,10.3,9.3,6.8
15. 7. 23,42.1,25.4,6.2,10.3,9.3,6.6
16. 7. 23,42.1,25.4,6.2,10.3,9.3,6.6
17. 7. 23,42.1,25.4,6.2,10.3,9.3,6.6
18. 7. 23,42.1,25.4,6.2,10.3,9.3,6.6
19. 7. 23,42.1,25.4,6.2,10.3,9.3,6.6
20. 7. 23,42.1,25.4,6.2,10.3,9.3,6.6
21. 7. 23,42.1,25.4,6.2,10.3,9.3,6.6
22. 7. 23,42.1,25.4,6.2,10.3,9.3,6.6
23. 7. 23,42.1,25.4,6.2,10.3,9.3,6.6
24. 7. 23,42.1,25.4,6.2,10.3,9.3,6.6
25. 7. 23,42.1,25.4,6.2,10.3,9.3,6.6
26. 7. 23,42.1,25.4,6.2,10.3,9.3,6.6
27. 7. 23,42.1,25.4,6.2,10.3,9.3,6.6
28. 7. 23,42.1,25.4,6.2,10.3,9.3,6.6
29. 7. 23,42.1,26.1,6.3,10.1,9.5,5.8
30. 7. 23,42.1,26.1,6.3,10.1,9.5,5.8
31. 7. 23,42.1,26.1,6.3,10.1,9.5,5.8
1. 8. 23,42.1,26.1,6.3,10.1,9.5,5.8
2. 8. 23,42.1,26.1,6.3,10.1,9.5,5.8
3. 8. 23,42.1,26.1,6.3,10.1,9.5,5.8
4. 8. 23,42.0,30.3,5.8,8.9,8.0,5.0
5. 8. 23,42.0,30.3,5.8,8.9,8.0,5.0
6. 8. 23,42.0,30.3,5.8,8.9,8.0,5.0
7. 8. 23,42.0,30.3,5.8,8.9,8.0,5.0
9. 8. 23,42.0,30.3,5.8,8.9,8.0,5.0
10. 8. 23,42.0,30.3,5.8,8.9,8.0,5.0
11. 8. 23,42.0,30.3,5.8,8.9,8.0,5.0
12. 8. 23,42.0,30.3,5.8,8.9,8.0,5.0
13. 8. 23,42.0,30.3,5.8,8.9,8.0,5.0
14. 8. 23,42.0,30.3,5.8,8.9,8.0,5.0
15. 8. 23,42.0,30.3,5.8,8.9,8.0,5.0
16. 8. 23,42.0,30.3,5.8,8.9,8.0,5.0
18. 8. 23,42.1,27.4,6.0,9.7,8.6,6.2
19. 8. 23,39.3,28.0,5.6,16.2,7.3,3.6
21. 8. 23,39.3,28.0,5.6,16.2,7.3,3.6
22. 8. 23,39.3,28.0,5.6,16.2,7.3,3.6
23. 8. 23,39.3,28.0,5.6,16.2,7.3,3.6
24. 8. 23,39.3,28.0,5.6,16.2,7.3,3.6
27. 8. 23,39.3,28.0,5.6,16.2,7.3,3.6
28. 8. 23,39.8,28.1,5.5,15.9,7.2,3.6
29. 8. 23,40.2,28.2,5.4,15.6,7.0,3.5
30. 8. 23,42.5,26.0,5.4,15.6,7.0,3.5
31. 8. 23,45.9,24.9,5.5,15.0,5.9,2.8
1. 9. 23,45.9,24.9,5.5,15.0,5.9,2.8
2. 9. 23,45.0,25.3,5.1,15.3,6.5,2.8
3. 9. 23,44.1,25.7,4.7,15.7,7.1,2.8
4. 9. 23,47.1,24.8,5.4,14.9,5.4,2.4
5. 9. 23,47.1,24.8,5.4,14.9,5.4,2.4
6. 9. 23,47.1,24.8,5.4,14.9,5.4,2.4
7. 9. 23,47.1,24.8,5.4,14.9,5.4,2.4
8. 9. 23,47.1,24.8,5.4,14.9,5.4,2.4
9. 9. 23,47.1,24.8,5.4,14.9,5.4,2.4
10. 9. 23,47.1,24.8,5.4,14.9,5.4,2.4
11. 9. 23,47.1,24.8,5.4,14.9,5.4,2.4
12. 9. 23,47.1,24.8,5.4,14.9,5.4,2.4
13. 9. 23,47.1,24.8,5.4,14.9,5.4,2.4
14. 9. 23,45.6,25.2,5.1,15.3,6.2,2.6
15. 9. 23,45.6,25.2,5.1,15.3,6.2,2.6
16. 9. 23,47.1,24.8,5.4,14.9,5.4,2.4
17. 9. 23,45.6,25.2,5.1,15.3,6.2,2.6
18. 9. 23,47.4,24.9,5.2,14.7,5.5,2.4
19. 9. 23,47.8,25.2,4.8,14.3,5.5,2.4
20. 9. 23,47.8,25.2,4.8,14.3,5.5,2.4
21. 9. 23,45.9,25.4,4.7,15.0,6.3,2.6
22. 9. 23,47.8,25.2,4.8,14.3,5.5,2.4
23. 9. 23,47.8,25.2,4.8,14.3,5.5,2.4
24. 9. 23,47.8,25.2,4.8,14.3,5.5,2.4
25. 9. 23,47.8,25.2,4.8,14.3,5.5,2.4
26. 9. 23,45.9,25.4,4.7,15.0,6.3,2.6
27. 9. 23,45.9,25.4,4.7,15.0,6.3,2.6
28. 9. 23,47.8,25.2,4.8,14.3,5.5,2.4
29. 9. 23,45.9,25.4,4.7,15.0,6.3,2.6
30. 9. 23,45.9,25.4,4.7,15.0,6.3,2.6
1. 10. 23,47.7,27.4,4.4,12.1,6.2,2.3
2. 10. 23,45.4,26.6,4.4,14.1,6.9,2.5
3. 10. 23,45.4,26.6,4.4,14.1,6.9,2.5
4. 10. 23,45.4,26.6,4.4,14.1,6.9,2.5
5. 10. 23,45.4,26.8,4.5,14.0,6.8,2.5
6. 10. 23,44.8,30.1,4.4,12.5,5.8,2.5
7. 10. 23,44.8,32.1,4.2,11.3,5.3,2.4
8. 10. 23,44.8,32.1,4.2,11.3,5.3,2.4
9. 10. 23,44.8,32.1,4.2,11.3,5.3,2.4
10. 10. 23,44.3,32.6,4.1,11.6,5.1,2.3
11. 10. 23,42.6,35.9,4.0,10.6,4.8,2.1
12. 10. 23,42.0,37.5,3.7,10.4,4.5,2.0
13. 10. 23,41.9,37.8,3.6,10.4,4.4,1.9
14. 10. 23,41.9,37.8,3.6,10.4,4.4,1.9
15. 10. 23,41.9,37.8,3.6,10.4,4.4,1.9
16. 10. 23,41.9,37.8,3.6,10.4,4.4,1.9
17. 10. 23,41.8,38.4,3.4,10.5,4.2,1.7
18. 10. 23,41.9,39.3,3.1,10.6,3.8,1.3
19. 10. 23,41.6,40.1,2.9,10.4,3.6,1.3
20. 10. 23,41.5,41.5,2.6,10.0,3.1,1.2
21. 10. 23,41.5,41.5,2.6,10.0,3.1,1.2
22. 10. 23,41.5,41.5,2.6,10.0,3.1,1.2
23. 10. 23,41.5,41.5,2.6,10.0,3.1,1.2
24. 10. 23,41.5,41.5,2.6,10.0,3.1,1.2
25. 10. 23,41.5,41.5,2.6,10.0,3.1,1.2
26. 10. 23,41.5,41.5,2.6,10.0,3.1,1.2
27. 10. 23,41.5,41.5,2.6,10.0,3.1,1.2
28. 10. 23,41.2,41.4,2.6,10.4,3.1,1.2
29. 10. 23,40.6,41.2,2.6,11.3,3.1,1.2
30. 10. 23,40.6,41.2,2.6,11.3,3.1,1.2
31. 10. 23,40.2,40.2,2.5,12.7,3.1,1.3
2. 11. 23,40.2,40.2,2.5,12.7,3.1,1.3
3. 11. 23,40.2,40.2,2.5,12.7,3.1,1.3
4. 11. 23,40.2,40.2,2.5,12.7,3.1,1.3
5. 11. 23,40.2,40.2,2.5,12.7,3.1,1.3
6. 11. 23,40.2,40.2,2.5,12.7,3.1,1.3
7. 11. 23,40.2,40.2,2.5,12.7,3.1,1.3
8. 11. 23,40.2,40.2,2.5,12.7,3.1,1.3
9. 11. 23,40.1,41.6,2.5,11.4,3.0,1.3
